run_dir,status,model,data,epochs,batch,imgsz,device,seed,name,project,last_epoch,last_mAP50,last_mAP50_95,last_precision,last_recall,best_epoch,best_mAP50,best_mAP50_95,best_precision,best_recall
/root/ultralytics/runs/detect/runs/sf/det_glass_yolo26n_ablate_comp_baseline_e200,finished,ultralytics/cfg/models/26/yolo26.yaml,ultralytics/cfg/datasets/glass_substrate.yaml,200,16,640,0,0,det_glass_yolo26n_ablate_comp_baseline_e200,runs/sf,200,0.95821,0.83281,0.92741,0.92419,187,0.9666,0.84074,0.93159,0.93307
/root/ultralytics/runs/detect/runs/sf/det_glass_yolo26n_ablate_comp_freq_e200,finished,ultralytics/cfg/models/26/yolo26n-sf-freq.yaml,ultralytics/cfg/datasets/glass_substrate.yaml,200,16,640,0,0,det_glass_yolo26n_ablate_comp_freq_e200,runs/sf,200,0.9472,0.81873,0.91424,0.90343,190,0.95629,0.82677,0.93274,0.90529
/root/ultralytics/runs/detect/runs/sf/det_glass_yolo26n_ablate_comp_parallel_e200,finished,ultralytics/cfg/models/26/yolo26n-sf.yaml,ultralytics/cfg/datasets/glass_substrate.yaml,200,16,640,0,0,det_glass_yolo26n_ablate_comp_parallel_e200,runs/sf,200,0.93801,0.81413,0.87629,0.91508,159,0.95148,0.82438,0.93251,0.88595
/root/ultralytics/runs/detect/runs/sf/det_glass_yolo26n_ablate_comp_spatial_e200,finished,ultralytics/cfg/models/26/yolo26n-sf-spatial.yaml,ultralytics/cfg/datasets/glass_substrate.yaml,200,16,640,0,0,det_glass_yolo26n_ablate_comp_spatial_e200,runs/sf,200,0.94713,0.81308,0.90721,0.91242,199,0.94362,0.81608,0.87692,0.93406
