variant,delta_precision_pp,delta_recall_pp,delta_mAP50_pp,delta_mAP50_95_pp,delta_time_hr
baseline,0.0,0.0,0.0,0.0,0.0
v1,4.417999999999999,2.130999999999994,0.8889999999999953,-0.27800000000000047,0.19511944444444418
v2,3.9370000000000016,-0.23199999999999887,1.6369999999999996,0.32200000000000006,-0.05183888888888877
v2plus,1.763999999999999,-0.7670000000000066,0.08899999999999464,0.6190000000000029,0.4436388888888887
